订单号,下单日期,商品ID,商品名称,类目,销售渠道,城市,单价,数量,实付金额,成本,支付方式
SO20250238,2025-05-25,P0006,纯棉 T 恤,服饰鞋包,天猫旗舰店,北京,533.81,5,2669.05,1031.2,支付宝
SO20250239,2025-06-16,P0002,智能手表,数码家电,京东自营,重庆,759.87,5,3799.35,86.25,花呗
SO20250240,2025-03-16,P0020,零食大礼包,食品生鲜,抖音小店,南京,518.41,4,2073.64,47.52,微信支付
SO20250241,2025-06-26,P0022,保温杯,家居生活,天猫旗舰店,广州,336.75,4,1212.3,849.84,花呗
SO20250242,2025-06-05,P0014,洗发水,美妆个护,京东自营,成都,397.72,2,795.44,135.32,银行卡
SO20250243,2025-02-03,P0024,四件套,家居生活,抖音小店,苏州,790.66,3,2016.18,165.27,支付宝
SO20250244,2025-04-26,P0011,保湿面霜,美妆个护,京东自营,广州,208.56,1,208.56,73.41,支付宝
SO20250245,2025-04-18,P0002,智能手表,数码家电,京东自营,广州,246.37,4,985.48,69.0,银行卡
SO20250246,2025-05-08,P0019,水果拼盘,食品生鲜,线下门店,南京,582.48,2,1106.71,489.46,花呗
SO20250247,2025-05-10,P0010,羽绒服,服饰鞋包,拼多多,深圳,407.95,1,346.76,18.64,微信支付
SO20250248,2025-05-07,P0019,水果拼盘,食品生鲜,线下门店,南京,295.26,1,295.26,244.73,银行卡
SO20250249,2025-02-04,P0018,有机牛奶,食品生鲜,抖音小店,成都,26.38,1,22.42,180.89,花呗
SO20250250,2025-05-24,P0012,防晒霜,美妆个护,京东自营,成都,55.29,1,55.29,156.55,银行卡
SO20250251,2025-03-13,P0003,便携充电宝,数码家电,线下门店,重庆,321.35,4,1285.4,359.04,支付宝
SO20250252,2025-03-28,P0005,机械键盘,数码家电,线下门店,成都,780.56,4,3122.24,894.32,微信支付
SO20250253,2025-01-11,P0007,休闲运动鞋,服饰鞋包,天猫旗舰店,北京,489.92,4,1959.68,1074.92,微信支付
SO20250254,2025-04-27,P0023,香薰蜡烛,家居生活,京东自营,重庆,279.77,4,1119.08,434.68,微信支付
SO20250255,2025-04-11,P0011,保湿面霜,美妆个护,线下门店,杭州,746.47,3,2127.44,220.23,银行卡
SO20250256,2025-05-25,P0017,咖啡豆,食品生鲜,抖音小店,南京,666.07,5,2830.8,369.65,支付宝
SO20250257,2025-05-30,P0012,防晒霜,美妆个护,抖音小店,北京,278.37,1,236.61,156.55,花呗
SO20250258,2025-02-28,P0009,牛仔裤,服饰鞋包,天猫旗舰店,重庆,774.32,5,3871.6,661.8,花呗
SO20250259,2025-02-07,P0006,纯棉 T 恤,服饰鞋包,京东自营,北京,428.9,5,1822.83,1031.2,支付宝
SO20250260,2025-02-08,P0007,休闲运动鞋,服饰鞋包,拼多多,深圳,34.77,3,88.66,806.19,花呗
SO20250261,2025-06-30,P0017,咖啡豆,食品生鲜,京东自营,苏州,624.48,4,2248.13,295.72,微信支付
SO20250262,2025-04-07,P0018,有机牛奶,食品生鲜,抖音小店,广州,273.54,4,1094.16,723.56,花呗
SO20250263,2025-06-06,P0018,有机牛奶,食品生鲜,拼多多,深圳,287.02,3,861.06,542.67,微信支付
SO20250264,2025-03-15,P0009,牛仔裤,服饰鞋包,京东自营,南京,455.31,2,910.62,264.72,银行卡
SO20250265,2025-02-01,P0016,坚果礼盒,食品生鲜,线下门店,苏州,292.07,3,876.21,504.09,花呗
SO20250266,2025-01-11,P0013,电动牙刷,美妆个护,抖音小店,上海,658.33,2,1316.66,35.4,银行卡
SO20250267,2025-02-21,P0015,面膜,美妆个护,线下门店,杭州,531.66,4,2020.31,793.88,银行卡
SO20250268,2025-03-04,P0005,机械键盘,数码家电,天猫旗舰店,苏州,105.2,5,499.7,1117.9,微信支付
SO20250269,2025-03-26,P0021,记忆枕,家居生活,拼多多,上海,201.61,1,171.37,243.69,微信支付
SO20250270,2025-06-17,P0001,无线蓝牙耳机,数码家电,拼多多,南京,772.32,2,1312.94,390.86,微信支付
SO20250271,2025-06-15,P0025,收纳箱,家居生活,天猫旗舰店,上海,771.85,3,2315.55,862.77,微信支付
SO20250272,2025-04-17,P0018,有机牛奶,食品生鲜,京东自营,北京,596.18,1,566.37,180.89,花呗
SO20250273,2025-01-03,P0016,坚果礼盒,食品生鲜,抖音小店,重庆,165.32,3,446.36,504.09,支付宝
SO20250274,2025-05-07,P0011,保湿面霜,美妆个护,京东自营,苏州,241.96,5,1209.8,367.05,花呗
SO20250275,2025-02-11,P0009,牛仔裤,服饰鞋包,拼多多,杭州,170.39,1,170.39,132.36,微信支付
SO20250276,2025-06-22,P0001,无线蓝牙耳机,数码家电,京东自营,广州,594.56,3,1783.68,586.29,花呗
SO20250277,2025-06-21,P0014,洗发水,美妆个护,天猫旗舰店,广州,421.92,1,358.63,67.66,微信支付
SO20250278,2025-03-08,P0016,坚果礼盒,食品生鲜,拼多多,深圳,272.41,2,490.34,336.06,花呗
SO20250279,2025-05-30,P0025,收纳箱,家居生活,线下门店,北京,228.26,3,684.78,862.77,银行卡
SO20250280,2025-06-20,P0021,记忆枕,家居生活,天猫旗舰店,南京,300.45,2,540.81,487.38,银行卡
SO20250281,2025-06-26,P0006,纯棉 T 恤,服饰鞋包,天猫旗舰店,杭州,336.22,5,1681.1,1031.2,银行卡
SO20250282,2025-02-09,P0020,零食大礼包,食品生鲜,拼多多,重庆,192.26,2,326.84,23.76,银行卡
SO20250283,2025-06-20,P0014,洗发水,美妆个护,京东自营,深圳,567.51,4,2270.04,270.64,支付宝
SO20250284,2025-05-25,P0017,咖啡豆,食品生鲜,天猫旗舰店,北京,368.46,3,994.84,221.79,微信支付
SO20250285,2025-05-14,P0019,水果拼盘,食品生鲜,拼多多,上海,438.59,2,877.18,489.46,微信支付
SO20250286,2025-04-25,P0023,香薰蜡烛,家居生活,天猫旗舰店,南京,474.86,1,474.86,108.67,微信支付
SO20250287,2025-05-24,P0017,咖啡豆,食品生鲜,拼多多,杭州,344.03,5,1548.13,369.65,支付宝
SO20250288,2025-05-29,P0013,电动牙刷,美妆个护,天猫旗舰店,北京,218.48,1,207.56,17.7,花呗
SO20250289,2025-01-18,P0012,防晒霜,美妆个护,拼多多,北京,566.3,5,2548.35,782.75,银行卡
SO20250290,2025-04-06,P0014,洗发水,美妆个护,拼多多,南京,160.39,2,272.66,135.32,花呗
SO20250291,2025-06-17,P0013,电动牙刷,美妆个护,抖音小店,上海,82.59,5,392.3,88.5,微信支付
SO20250292,2025-01-01,P0018,有机牛奶,食品生鲜,天猫旗舰店,杭州,326.59,2,620.52,361.78,花呗
SO20250293,2025-04-08,P0022,保温杯,家居生活,京东自营,深圳,580.89,4,2323.56,849.84,花呗
SO20250294,2025-01-09,P0012,防晒霜,美妆个护,拼多多,重庆,140.99,2,253.78,313.1,支付宝
SO20250295,2025-01-09,P0008,双肩背包,服饰鞋包,拼多多,重庆,180.74,1,180.74,35.21,支付宝
SO20250296,2025-03-01,P0008,双肩背包,服饰鞋包,线下门店,深圳,597.62,4,2031.91,140.84,支付宝
SO20250297,2025-05-28,P0005,机械键盘,数码家电,抖音小店,重庆,413.04,3,1177.16,670.74,银行卡
SO20250298,2025-02-26,P0008,双肩背包,服饰鞋包,拼多多,杭州,255.38,2,510.76,70.42,银行卡
SO20250299,2025-06-10,P0002,智能手表,数码家电,拼多多,苏州,454.24,5,2157.64,86.25,花呗
SO20250300,2025-03-23,P0002,智能手表,数码家电,拼多多,武汉,778.39,4,3113.56,69.0,微信支付
SO20250301,2025-03-03,P0010,羽绒服,服饰鞋包,京东自营,杭州,313.64,5,1332.97,93.2,微信支付
SO20250302,2025-04-17,P0015,面膜,美妆个护,线下门店,苏州,733.5,5,3117.38,992.35,微信支付
SO20250303,2025-06-15,P0013,电动牙刷,美妆个护,天猫旗舰店,南京,209.43,2,418.86,35.4,银行卡
SO20250304,2025-03-10,P0003,便携充电宝,数码家电,拼多多,重庆,437.8,2,788.04,179.52,支付宝
SO20250305,2025-02-25,P0003,便携充电宝,数码家电,拼多多,深圳,166.77,5,833.85,448.8,银行卡
SO20250306,2025-02-18,P0010,羽绒服,服饰鞋包,天猫旗舰店,南京,766.48,1,728.16,18.64,微信支付
SO20250307,2025-03-03,P0023,香薰蜡烛,家居生活,线下门店,成都,491.43,2,835.43,217.34,银行卡
SO20250308,2025-03-08,P0013,电动牙刷,美妆个护,抖音小店,苏州,383.68,3,1151.04,53.1,花呗
SO20250309,2025-02-22,P0015,面膜,美妆个护,抖音小店,成都,96.91,4,387.64,793.88,花呗
SO20250310,2025-01-05,P0002,智能手表,数码家电,抖音小店,苏州,458.77,2,871.66,34.5,花呗
SO20250311,2025-04-08,P0010,羽绒服,服饰鞋包,线下门店,深圳,138.88,3,395.81,55.92,花呗
SO20250312,2025-05-06,P0018,有机牛奶,食品生鲜,拼多多,南京,530.59,3,1591.77,542.67,微信支付
SO20250313,2025-05-20,P0024,四件套,家居生活,拼多多,广州,640.08,2,1216.15,110.18,支付宝
SO20250314,2025-01-02,P0017,咖啡豆,食品生鲜,拼多多,广州,46.38,1,41.74,73.93,微信支付
SO20250315,2025-05-10,P0003,便携充电宝,数码家电,拼多多,成都,571.59,1,543.01,89.76,支付宝
SO20250316,2025-06-18,P0020,零食大礼包,食品生鲜,拼多多,北京,517.43,5,2199.08,59.4,支付宝
SO20250317,2025-05-16,P0018,有机牛奶,食品生鲜,抖音小店,苏州,450.28,1,405.25,180.89,银行卡
SO20250318,2025-01-28,P0001,无线蓝牙耳机,数码家电,天猫旗舰店,苏州,411.73,4,1564.57,781.72,微信支付
SO20250319,2025-04-01,P0008,双肩背包,服饰鞋包,抖音小店,武汉,169.71,5,848.55,176.05,支付宝
SO20250320,2025-03-04,P0012,防晒霜,美妆个护,京东自营,杭州,768.25,4,3073.0,626.2,支付宝
SO20250321,2025-04-14,P0021,记忆枕,家居生活,拼多多,武汉,793.51,1,714.16,243.69,花呗
SO20250322,2025-05-08,P0002,智能手表,数码家电,拼多多,成都,516.66,2,929.99,34.5,支付宝
SO20250323,2025-06-27,P0017,咖啡豆,食品生鲜,线下门店,南京,736.94,2,1400.19,147.86,银行卡
SO20250324,2025-05-25,P0002,智能手表,数码家电,天猫旗舰店,广州,740.84,3,2222.52,51.75,银行卡
SO20250325,2025-04-12,P0001,无线蓝牙耳机,数码家电,天猫旗舰店,杭州,769.95,5,3657.26,977.15,微信支付
SO20250326,2025-03-26,P0019,水果拼盘,食品生鲜,拼多多,广州,207.57,4,830.28,978.92,支付宝
SO20250327,2025-01-26,P0017,咖啡豆,食品生鲜,拼多多,深圳,601.46,3,1623.94,221.79,支付宝
SO20250328,2025-04-12,P0011,保湿面霜,美妆个护,抖音小店,北京,492.03,5,2460.15,367.05,银行卡
SO20250329,2025-04-07,P0015,面膜,美妆个护,拼多多,广州,402.67,3,1208.01,595.41,花呗
SO20250330,2025-01-19,P0003,便携充电宝,数码家电,天猫旗舰店,杭州,622.29,3,1773.53,269.28,微信支付
SO20250331,2025-03-23,P0013,电动牙刷,美妆个护,抖音小店,上海,575.11,2,977.69,35.4,支付宝
SO20250332,2025-03-11,P0001,无线蓝牙耳机,数码家电,天猫旗舰店,广州,755.51,4,3022.04,781.72,支付宝
SO20250333,2025-05-12,P0006,纯棉 T 恤,服饰鞋包,拼多多,上海,356.16,5,1780.8,1031.2,支付宝
SO20250334,2025-06-03,P0003,便携充电宝,数码家电,抖音小店,武汉,296.05,1,296.05,89.76,支付宝
SO20250335,2025-03-04,P0010,羽绒服,服饰鞋包,线下门店,苏州,342.77,1,342.77,18.64,微信支付
SO20250336,2025-03-19,P0022,保温杯,家居生活,抖音小店,南京,316.97,2,633.94,424.92,微信支付
SO20250337,2025-03-18,P0003,便携充电宝,数码家电,拼多多,上海,150.42,3,383.57,269.28,银行卡
SO20250338,2025-06-07,P0009,牛仔裤,服饰鞋包,京东自营,南京,756.49,4,3025.96,529.44,支付宝
SO20250339,2025-06-08,P0005,机械键盘,数码家电,拼多多,成都,257.63,4,1030.52,894.32,花呗
SO20250340,2025-03-18,P0011,保湿面霜,美妆个护,抖音小店,重庆,355.88,5,1690.43,367.05,微信支付
SO20250341,2025-03-16,P0016,坚果礼盒,食品生鲜,拼多多,重庆,265.06,4,1060.24,672.12,微信支付
SO20250342,2025-01-30,P0011,保湿面霜,美妆个护,线下门店,深圳,313.32,4,1253.28,293.64,微信支付
SO20250343,2025-02-23,P0022,保温杯,家居生活,拼多多,杭州,618.74,1,525.93,212.46,支付宝
SO20250344,2025-03-03,P0014,洗发水,美妆个护,抖音小店,广州,544.92,2,1089.84,135.32,花呗
SO20250345,2025-05-30,P0013,电动牙刷,美妆个护,拼多多,苏州,77.69,5,330.18,88.5,花呗
SO20250346,2025-06-02,P0018,有机牛奶,食品生鲜,天猫旗舰店,上海,48.68,3,146.04,542.67,微信支付
SO20250347,2025-01-12,P0022,保温杯,家居生活,线下门店,武汉,538.46,2,1076.92,424.92,银行卡
SO20250348,2025-02-26,P0014,洗发水,美妆个护,线下门店,苏州,102.64,1,102.64,67.66,微信支付
SO20250349,2025-06-26,P0015,面膜,美妆个护,线下门店,广州,311.81,4,1247.24,793.88,银行卡
SO20250350,2025-01-22,P0001,无线蓝牙耳机,数码家电,天猫旗舰店,广州,396.56,3,1011.23,586.29,银行卡
SO20250351,2025-05-04,P0010,羽绒服,服饰鞋包,抖音小店,南京,287.59,2,575.18,37.28,支付宝
SO20250352,2025-01-18,P0015,面膜,美妆个护,抖音小店,北京,583.16,4,2332.64,793.88,支付宝
SO20250353,2025-03-04,P0001,无线蓝牙耳机,数码家电,线下门店,广州,682.36,1,648.24,195.43,微信支付
SO20250354,2025-04-14,P0011,保湿面霜,美妆个护,京东自营,广州,456.68,4,1735.38,293.64,花呗
SO20250355,2025-04-26,P0013,电动牙刷,美妆个护,线下门店,武汉,42.77,5,203.16,88.5,花呗
SO20250356,2025-06-30,P0001,无线蓝牙耳机,数码家电,天猫旗舰店,重庆,569.69,2,1139.38,390.86,支付宝
SO20250357,2025-04-28,P0018,有机牛奶,食品生鲜,天猫旗舰店,杭州,165.83,3,472.62,542.67,花呗
SO20250358,2025-04-10,P0017,咖啡豆,食品生鲜,线下门店,武汉,773.41,3,2320.23,221.79,支付宝
SO20250359,2025-02-14,P0012,防晒霜,美妆个护,抖音小店,重庆,294.55,4,1178.2,626.2,支付宝
SO20250360,2025-03-20,P0022,保温杯,家居生活,天猫旗舰店,广州,124.48,1,118.26,212.46,银行卡
SO20250361,2025-06-02,P0023,香薰蜡烛,家居生活,京东自营,重庆,130.26,4,442.88,434.68,花呗
SO20250362,2025-05-23,P0014,洗发水,美妆个护,京东自营,南京,164.89,5,783.23,338.3,银行卡
SO20250363,2025-01-14,P0005,机械键盘,数码家电,抖音小店,北京,165.94,4,663.76,894.32,花呗
SO20250364,2025-05-10,P0005,机械键盘,数码家电,拼多多,武汉,172.2,4,688.8,894.32,花呗
SO20250365,2025-02-12,P0014,洗发水,美妆个护,天猫旗舰店,重庆,573.91,4,1951.29,270.64,支付宝
SO20250366,2025-02-27,P0025,收纳箱,家居生活,线下门店,杭州,192.01,1,192.01,287.59,微信支付
SO20250367,2025-05-11,P0025,收纳箱,家居生活,天猫旗舰店,重庆,376.71,4,1506.84,1150.36,支付宝
SO20250368,2025-01-11,P0009,牛仔裤,服饰鞋包,拼多多,苏州,624.59,3,1873.77,397.08,微信支付
SO20250369,2025-01-09,P0014,洗发水,美妆个护,拼多多,杭州,99.88,2,199.76,135.32,银行卡
SO20250370,2025-02-23,P0003,便携充电宝,数码家电,线下门店,成都,362.47,1,344.35,89.76,花呗
SO20250371,2025-01-16,P0006,纯棉 T 恤,服饰鞋包,线下门店,成都,500.6,2,951.14,412.48,银行卡
SO20250372,2025-03-16,P0020,零食大礼包,食品生鲜,线下门店,杭州,440.24,3,1320.72,35.64,支付宝
SO20250373,2025-03-12,P0005,机械键盘,数码家电,京东自营,广州,770.96,4,2775.46,894.32,微信支付
SO20250374,2025-05-06,P0005,机械键盘,数码家电,京东自营,重庆,574.89,2,977.31,447.16,银行卡
SO20250375,2025-06-12,P0021,记忆枕,家居生活,天猫旗舰店,武汉,343.1,4,1235.16,974.76,银行卡
SO20250376,2025-05-05,P0023,香薰蜡烛,家居生活,抖音小店,重庆,750.34,3,1913.37,326.01,支付宝
SO20250377,2025-06-12,P0025,收纳箱,家居生活,抖音小店,上海,680.79,1,578.67,287.59,花呗
SO20250378,2025-03-10,P0007,休闲运动鞋,服饰鞋包,抖音小店,杭州,775.14,2,1317.74,537.46,银行卡
SO20250379,2025-03-29,P0018,有机牛奶,食品生鲜,天猫旗舰店,北京,470.79,5,2000.86,904.45,支付宝
SO20250380,2025-02-01,P0021,记忆枕,家居生活,京东自营,南京,631.43,4,2273.15,974.76,花呗
SO20250381,2025-06-26,P0001,无线蓝牙耳机,数码家电,京东自营,杭州,793.63,4,3015.79,781.72,微信支付
SO20250382,2025-01-22,P0009,牛仔裤,服饰鞋包,抖音小店,广州,92.81,3,278.43,397.08,支付宝
SO20250383,2025-06-17,P0013,电动牙刷,美妆个护,天猫旗舰店,上海,507.97,2,863.55,35.4,支付宝
SO20250384,2025-02-27,P0007,休闲运动鞋,服饰鞋包,线下门店,南京,391.91,2,783.82,537.46,支付宝
SO20250385,2025-06-27,P0001,无线蓝牙耳机,数码家电,京东自营,南京,562.57,1,478.18,195.43,支付宝
SO20250386,2025-03-22,P0008,双肩背包,服饰鞋包,抖音小店,杭州,318.79,1,286.91,35.21,微信支付
SO20250387,2025-01-18,P0013,电动牙刷,美妆个护,线下门店,重庆,623.3,2,1184.27,35.4,支付宝
SO20250388,2025-02-24,P0020,零食大礼包,食品生鲜,京东自营,武汉,527.02,4,2108.08,47.52,花呗
SO20250389,2025-02-01,P0007,休闲运动鞋,服饰鞋包,线下门店,武汉,87.62,1,83.24,268.73,银行卡
SO20250390,2025-03-12,P0014,洗发水,美妆个护,天猫旗舰店,深圳,265.31,2,504.09,135.32,银行卡
SO20250391,2025-02-22,P0025,收纳箱,家居生活,线下门店,重庆,754.2,1,754.2,287.59,微信支付
SO20250392,2025-05-07,P0024,四件套,家居生活,拼多多,上海,325.57,1,309.29,55.09,微信支付
SO20250393,2025-01-04,P0016,坚果礼盒,食品生鲜,抖音小店,成都,517.7,1,517.7,168.03,微信支付
SO20250394,2025-04-04,P0013,电动牙刷,美妆个护,线下门店,广州,691.43,5,2938.58,88.5,花呗
SO20250395,2025-01-04,P0025,收纳箱,家居生活,抖音小店,深圳,76.93,5,346.19,1437.95,支付宝
SO20250396,2025-03-15,P0002,智能手表,数码家电,线下门店,武汉,759.97,4,3039.88,69.0,花呗
SO20250397,2025-06-07,P0023,香薰蜡烛,家居生活,京东自营,杭州,333.78,5,1668.9,543.35,支付宝
SO20250398,2025-05-18,P0010,羽绒服,服饰鞋包,抖音小店,武汉,81.64,2,155.12,37.28,支付宝
SO20250399,2025-03-04,P0010,羽绒服,服饰鞋包,天猫旗舰店,武汉,564.97,2,1016.95,37.28,支付宝
SO20250400,2025-06-20,P0015,面膜,美妆个护,京东自营,上海,497.59,1,497.59,198.47,支付宝
SO20250401,2025-05-08,P0023,香薰蜡烛,家居生活,抖音小店,苏州,127.03,1,120.68,108.67,银行卡
SO20250402,2025-01-08,P0006,纯棉 T 恤,服饰鞋包,抖音小店,武汉,310.06,3,837.16,618.72,银行卡
SO20250403,2025-05-08,P0017,咖啡豆,食品生鲜,拼多多,苏州,69.82,5,314.19,369.65,银行卡
SO20250404,2025-04-05,P0002,智能手表,数码家电,京东自营,杭州,409.7,5,1946.07,86.25,支付宝
SO20250405,2025-05-11,P0019,水果拼盘,食品生鲜,天猫旗舰店,北京,545.81,1,518.52,244.73,支付宝
SO20250406,2025-02-08,P0008,双肩背包,服饰鞋包,京东自营,北京,55.87,3,142.47,105.63,花呗
SO20250407,2025-03-11,P0008,双肩背包,服饰鞋包,天猫旗舰店,重庆,271.01,4,1084.04,140.84,银行卡
SO20250408,2025-02-27,P0004,4K 显示器,数码家电,线下门店,北京,411.59,1,391.01,74.73,花呗
SO20250409,2025-03-25,P0003,便携充电宝,数码家电,天猫旗舰店,苏州,704.05,3,2112.15,269.28,花呗
SO20250410,2025-03-19,P0001,无线蓝牙耳机,数码家电,线下门店,深圳,307.76,3,923.28,586.29,花呗
SO20250411,2025-05-20,P0012,防晒霜,美妆个护,京东自营,广州,481.52,4,1829.78,626.2,支付宝
SO20250412,2025-06-12,P0014,洗发水,美妆个护,天猫旗舰店,成都,38.65,5,193.25,338.3,支付宝
SO20250413,2025-02-22,P0025,收纳箱,家居生活,线下门店,深圳,532.7,3,1438.29,862.77,花呗
SO20250414,2025-01-24,P0016,坚果礼盒,食品生鲜,天猫旗舰店,深圳,769.72,2,1539.44,336.06,花呗
SO20250415,2025-05-29,P0023,香薰蜡烛,家居生活,天猫旗舰店,苏州,718.55,4,2586.78,434.68,微信支付
SO20250416,2025-05-26,P0021,记忆枕,家居生活,天猫旗舰店,武汉,659.57,1,659.57,243.69,微信支付
SO20250417,2025-06-29,P0008,双肩背包,服饰鞋包,抖音小店,成都,247.51,3,631.15,105.63,花呗
SO20250418,2025-05-30,P0009,牛仔裤,服饰鞋包,天猫旗舰店,广州,202.22,2,384.22,264.72,支付宝
SO20250419,2025-01-31,P0006,纯棉 T 恤,服饰鞋包,线下门店,成都,370.66,3,945.18,618.72,微信支付
SO20250420,2025-01-24,P0015,面膜,美妆个护,京东自营,杭州,260.48,3,703.3,595.41,支付宝
SO20250421,2025-01-24,P0007,休闲运动鞋,服饰鞋包,京东自营,成都,672.02,3,1915.26,806.19,花呗
SO20250422,2025-02-14,P0017,咖啡豆,食品生鲜,天猫旗舰店,武汉,58.18,3,174.54,221.79,花呗
SO20250423,2025-04-29,P0018,有机牛奶,食品生鲜,天猫旗舰店,广州,603.5,2,1086.3,361.78,支付宝
SO20250424,2025-02-20,P0001,无线蓝牙耳机,数码家电,拼多多,成都,68.1,2,129.39,390.86,支付宝
SO20250425,2025-01-17,P0019,水果拼盘,食品生鲜,京东自营,南京,477.17,1,429.45,244.73,微信支付
SO20250426,2025-01-11,P0003,便携充电宝,数码家电,拼多多,北京,725.96,3,1960.09,269.28,微信支付
SO20250427,2025-01-08,P0019,水果拼盘,食品生鲜,拼多多,武汉,357.86,4,1216.72,978.92,微信支付
SO20250428,2025-03-13,P0012,防晒霜,美妆个护,拼多多,广州,187.48,2,374.96,313.1,支付宝
SO20250429,2025-05-08,P0020,零食大礼包,食品生鲜,拼多多,苏州,502.96,2,1005.92,23.76,花呗
SO20250430,2025-04-18,P0002,智能手表,数码家电,京东自营,苏州,88.42,4,336.0,69.0,微信支付
SO20250431,2025-04-08,P0021,记忆枕,家居生活,抖音小店,南京,795.39,5,3579.26,1218.45,花呗
SO20250432,2025-04-10,P0012,防晒霜,美妆个护,抖音小店,广州,731.89,5,3659.45,782.75,支付宝
SO20250433,2025-01-15,P0011,保湿面霜,美妆个护,拼多多,苏州,485.75,1,485.75,73.41,银行卡
SO20250434,2025-01-26,P0025,收纳箱,家居生活,京东自营,深圳,475.51,2,903.47,575.18,银行卡
SO20250435,2025-05-28,P0018,有机牛奶,食品生鲜,拼多多,成都,656.7,1,623.87,180.89,微信支付
SO20250436,2025-06-01,P0006,纯棉 T 恤,服饰鞋包,天猫旗舰店,成都,204.51,3,613.53,618.72,微信支付
SO20250437,2025-03-21,P0019,水果拼盘,食品生鲜,京东自营,南京,759.73,4,3038.92,978.92,支付宝
SO20250438,2025-01-06,P0003,便携充电宝,数码家电,线下门店,南京,63.81,5,303.1,448.8,支付宝
SO20250439,2025-03-29,P0011,保湿面霜,美妆个护,京东自营,成都,735.96,2,1398.32,146.82,支付宝
SO20250440,2025-05-15,P0001,无线蓝牙耳机,数码家电,抖音小店,上海,135.22,2,243.4,390.86,银行卡
SO20250441,2025-01-26,P0023,香薰蜡烛,家居生活,抖音小店,杭州,754.7,4,3018.8,434.68,银行卡
SO20250442,2025-06-16,P0005,机械键盘,数码家电,抖音小店,广州,781.17,4,2655.98,894.32,银行卡
SO20250443,2025-03-20,P0008,双肩背包,服饰鞋包,抖音小店,广州,539.11,2,916.49,70.42,微信支付
SO20250444,2025-05-26,P0024,四件套,家居生活,天猫旗舰店,广州,21.4,5,90.95,275.45,银行卡
SO20250445,2025-05-08,P0020,零食大礼包,食品生鲜,京东自营,成都,192.3,5,865.35,59.4,支付宝
SO20250446,2025-06-12,P0008,双肩背包,服饰鞋包,天猫旗舰店,成都,290.51,3,827.95,105.63,花呗
SO20250447,2025-03-31,P0001,无线蓝牙耳机,数码家电,抖音小店,上海,226.87,2,408.37,390.86,支付宝
SO20250448,2025-04-16,P0002,智能手表,数码家电,拼多多,武汉,321.03,4,1219.91,69.0,银行卡
SO20250449,2025-06-16,P0018,有机牛奶,食品生鲜,京东自营,广州,312.77,4,1251.08,723.56,花呗
SO20250450,2025-01-06,P0003,便携充电宝,数码家电,抖音小店,杭州,643.37,1,643.37,89.76,支付宝
SO20250451,2025-01-20,P0003,便携充电宝,数码家电,线下门店,上海,286.61,4,1089.12,359.04,银行卡
SO20250452,2025-04-21,P0020,零食大礼包,食品生鲜,京东自营,重庆,788.52,4,2838.67,47.52,花呗
SO20250453,2025-02-18,P0006,纯棉 T 恤,服饰鞋包,拼多多,苏州,61.77,3,176.04,618.72,银行卡
SO20250454,2025-01-13,P0022,保温杯,家居生活,拼多多,重庆,239.59,2,431.26,424.92,花呗
SO20250455,2025-01-23,P0005,机械键盘,数码家电,抖音小店,重庆,62.51,1,53.13,223.58,花呗
SO20250456,2025-06-13,P0007,休闲运动鞋,服饰鞋包,抖音小店,上海,95.65,2,181.74,537.46,花呗
SO20250457,2025-05-06,P0004,4K 显示器,数码家电,抖音小店,上海,260.52,4,885.77,298.92,花呗
SO20250458,2025-02-17,P0006,纯棉 T 恤,服饰鞋包,拼多多,北京,309.4,4,1237.6,824.96,银行卡
SO20250459,2025-05-25,P0015,面膜,美妆个护,天猫旗舰店,广州,382.75,2,765.5,396.94,支付宝
SO20250460,2025-05-31,P0003,便携充电宝,数码家电,京东自营,苏州,541.15,5,2299.89,448.8,支付宝
SO20250461,2025-06-25,P0013,电动牙刷,美妆个护,拼多多,重庆,658.36,4,2633.44,70.8,微信支付
SO20250462,2025-05-09,P0016,坚果礼盒,食品生鲜,线下门店,苏州,253.1,4,911.16,672.12,微信支付
SO20250463,2025-02-12,P0004,4K 显示器,数码家电,京东自营,深圳,760.42,4,2889.6,298.92,微信支付
SO20250464,2025-06-10,P0002,智能手表,数码家电,京东自营,重庆,350.23,4,1330.87,69.0,银行卡
SO20250465,2025-04-10,P0011,保湿面霜,美妆个护,线下门店,武汉,730.43,1,657.39,73.41,银行卡
SO20250466,2025-05-31,P0009,牛仔裤,服饰鞋包,线下门店,武汉,425.36,1,425.36,132.36,支付宝
SO20250467,2025-05-30,P0014,洗发水,美妆个护,天猫旗舰店,上海,136.72,5,683.6,338.3,支付宝
SO20250468,2025-03-09,P0010,羽绒服,服饰鞋包,拼多多,南京,696.63,3,1776.41,55.92,花呗
SO20250469,2025-06-08,P0002,智能手表,数码家电,线下门店,武汉,154.32,4,586.42,69.0,支付宝
SO20250470,2025-01-13,P0013,电动牙刷,美妆个护,拼多多,杭州,713.87,3,2034.53,53.1,银行卡
SO20250471,2025-03-13,P0001,无线蓝牙耳机,数码家电,拼多多,上海,283.54,3,850.62,586.29,微信支付
SO20250472,2025-03-10,P0005,机械键盘,数码家电,拼多多,重庆,254.37,4,1017.48,894.32,支付宝
SO20250473,2025-05-13,P0007,休闲运动鞋,服饰鞋包,抖音小店,北京,364.54,4,1239.44,1074.92,微信支付
SO20250474,2025-02-04,P0003,便携充电宝,数码家电,线下门店,重庆,262.68,5,1116.39,448.8,支付宝
